test_case,precision,recall,f1_score
level 1,0.9973333333333333,1.0,0.9986648865153538
level 2,0.9666666666666667,1.0,0.983050847457627
level 3,0.9313333333333333,1.0,0.9644459785985502
level 4,0.819,1.0,0.9004947773501923
level 5,0.7526666666666667,1.0,0.8588817040699885
level 6,0.7383333333333333,1.0,0.8494726749760306
level 7,0.6896666666666667,1.0,0.8163345827579405
level 8,0.5376666666666666,1.0,0.6993279861261652
level 9,0.45166666666666666,1.0,0.6222732491389208
level 10,0.44566666666666666,1.0,0.616555222504035
level 11,0.44566666666666666,1.0,0.616555222504035
level 12,0.41533333333333333,1.0,0.586905322656618
level 13,0.3476666666666667,1.0,0.5159534998763295
level 14,0.37133333333333335,1.0,0.5415653864851726
level 15,0.353,1.0,0.5218033998521803
level 16,0.33866666666666667,1.0,0.5059760956175299
level 17,0.3323333333333333,1.0,0.4988741556167125
level 18,0.311,1.0,0.4744469870327994
level 19,0.2986666666666667,1.0,0.45995893223819306
level 20,0.268,1.0,0.42271293375394325
level 21,0.2663333333333333,1.0,0.4206370097394051
