test_case,keypoint,precision,recall,f1_score
diagonal,0.0,0.769,1.0,0.8694177501413227
diagonal,1.0,0.7596666666666667,1.0,0.8634211024815306
diagonal,2.0,0.674,1.0,0.8052568697729989
diagonal,3.0,0.6303333333333333,1.0,0.7732570026579432
diagonal,4.0,0.5173333333333333,1.0,0.6818980667838314
diagonal,5.0,0.815,1.0,0.8980716253443526
diagonal,6.0,0.7406666666666667,1.0,0.8510149368058215
diagonal,7.0,0.675,1.0,0.8059701492537313
diagonal,8.0,0.593,1.0,0.7445072190834903
diagonal,9.0,0.8906666666666667,1.0,0.9421720733427362
diagonal,10.0,0.7996666666666666,1.0,0.8886830894610114
diagonal,11.0,0.7046666666666667,1.0,0.8267500977708251
diagonal,12.0,0.629,1.0,0.7722529158993248
diagonal,13.0,0.839,1.0,0.9124524197933659
diagonal,14.0,0.7833333333333333,1.0,0.8785046728971964
diagonal,15.0,0.7076666666666667,1.0,0.8288112434120632
diagonal,16.0,0.6343333333333333,1.0,0.776259433000204
diagonal,17.0,0.691,1.0,0.8172678888231816
diagonal,18.0,0.6606666666666666,1.0,0.7956643918105177
diagonal,19.0,0.617,1.0,0.7631416202844774
diagonal,20.0,0.565,1.0,0.7220447284345047
horizontal,0.0,0.948,1.0,0.973305954825462
horizontal,1.0,0.945,1.0,0.9717223650385605
horizontal,2.0,0.8706666666666667,1.0,0.9308624376336422
horizontal,3.0,0.8253333333333334,1.0,0.9043097151205259
horizontal,4.0,0.7413333333333333,1.0,0.8514548238897396
horizontal,5.0,0.868,1.0,0.9293361884368309
horizontal,6.0,0.8836666666666667,1.0,0.9382410192886216
horizontal,7.0,0.8516666666666667,1.0,0.9198919891989199
horizontal,8.0,0.7963333333333333,1.0,0.8866208944145482
horizontal,9.0,0.9246666666666666,1.0,0.9608590232074818
horizontal,10.0,0.9416666666666667,1.0,0.9699570815450643
horizontal,11.0,0.8936666666666667,1.0,0.9438479140996303
horizontal,12.0,0.8393333333333334,1.0,0.9126495106922798
horizontal,13.0,0.9196666666666666,1.0,0.9581524570237888
horizontal,14.0,0.915,1.0,0.9556135770234987
horizontal,15.0,0.8726666666666667,1.0,0.9320042719829121
horizontal,16.0,0.8193333333333334,1.0,0.9006962257237083
horizontal,17.0,0.8483333333333334,1.0,0.9179440937781785
horizontal,18.0,0.8273333333333334,1.0,0.9055089383436703
horizontal,19.0,0.796,1.0,0.8864142538975501
horizontal,20.0,0.757,1.0,0.8616960728514513
vertical,0.0,0.9346666666666666,1.0,0.9662301860785665
vertical,1.0,0.9296666666666666,1.0,0.9635515633097254
vertical,2.0,0.8453333333333334,1.0,0.9161849710982659
vertical,3.0,0.794,1.0,0.8851727982162765
vertical,4.0,0.697,1.0,0.8214496169711254
vertical,5.0,0.8873333333333333,1.0,0.9403037795831861
vertical,6.0,0.8666666666666667,1.0,0.9285714285714286
vertical,7.0,0.841,1.0,0.9136338946224878
vertical,8.0,0.8086666666666666,1.0,0.8942130482860302
vertical,9.0,0.9103333333333333,1.0,0.9530622927935787
vertical,10.0,0.9313333333333333,1.0,0.9644459785985502
vertical,11.0,0.8896666666666667,1.0,0.9416122772975833
vertical,12.0,0.858,1.0,0.9235737351991388
vertical,13.0,0.885,1.0,0.9389920424403183
vertical,14.0,0.9143333333333333,1.0,0.9552498694062336
vertical,15.0,0.8596666666666667,1.0,0.924538447750493
vertical,16.0,0.837,1.0,0.9112683723462166
vertical,17.0,0.8216666666666667,1.0,0.9021043000914912
vertical,18.0,0.8183333333333334,1.0,0.9000916590284143
vertical,19.0,0.8003333333333333,1.0,0.8890946121088688
vertical,20.0,0.765,1.0,0.8668555240793201
