test_case,keypoint,precision,recall,f1_score
122,0.0,0.993,1.0,0.9964877069744105
122,1.0,0.9946666666666667,1.0,0.9973262032085561
122,2.0,0.9926666666666667,1.0,0.9963198394111744
122,3.0,0.9883333333333333,1.0,0.9941324392288349
122,4.0,0.9806666666666667,1.0,0.9902389767754965
122,5.0,0.9953333333333333,1.0,0.9976612094888071
122,6.0,0.991,1.0,0.9954796584630838
122,7.0,0.989,1.0,0.9944695827048768
122,8.0,0.986,1.0,0.9929506545820745
122,9.0,0.9976666666666667,1.0,0.9988319706324045
122,10.0,0.9963333333333333,1.0,0.9981632993822007
122,11.0,0.9956666666666667,1.0,0.9978286286955069
122,12.0,0.994,1.0,0.9969909729187563
122,13.0,0.9956666666666667,1.0,0.9978286286955069
122,14.0,0.9956666666666667,1.0,0.9978286286955069
122,15.0,0.9946666666666667,1.0,0.9973262032085561
122,16.0,0.9953333333333333,1.0,0.9976612094888071
122,17.0,0.9923333333333333,1.0,0.9961519156767609
122,18.0,0.9916666666666667,1.0,0.99581589958159
122,19.0,0.9913333333333333,1.0,0.995647807164379
122,20.0,0.9903333333333333,1.0,0.9951431920951265
488,0.0,1.0,1.0,1.0
488,1.0,1.0,1.0,1.0
488,2.0,0.9993333333333333,1.0,0.9996665555185061
488,3.0,0.9993333333333333,1.0,0.9996665555185061
488,4.0,0.9966666666666667,1.0,0.9983305509181971
488,5.0,1.0,1.0,1.0
488,6.0,1.0,1.0,1.0
488,7.0,1.0,1.0,1.0
488,8.0,0.9993333333333333,1.0,0.9996665555185061
488,9.0,0.9993333333333333,1.0,0.9996665555185061
488,10.0,1.0,1.0,1.0
488,11.0,1.0,1.0,1.0
488,12.0,1.0,1.0,1.0
488,13.0,1.0,1.0,1.0
488,14.0,1.0,1.0,1.0
488,15.0,1.0,1.0,1.0
488,16.0,0.9996666666666667,1.0,0.9998333055509252
488,17.0,1.0,1.0,1.0
488,18.0,1.0,1.0,1.0
488,19.0,0.9996666666666667,1.0,0.9998333055509252
488,20.0,0.9996666666666667,1.0,0.9998333055509252
