test_case,keypoint,precision,recall,f1_score
hands_with_objects,0.0,0.7192,1.0,0.8366682177757097
hands_with_objects,1.0,0.8248,1.0,0.9039894782989917
hands_with_objects,2.0,0.7972,1.0,0.8871578010238148
hands_with_objects,3.0,0.7184,1.0,0.8361266294227189
hands_with_objects,4.0,0.5964,1.0,0.7471811576046105
hands_with_objects,5.0,0.9012,1.0,0.9480328213759731
hands_with_objects,6.0,0.7576,1.0,0.8620846609012289
hands_with_objects,7.0,0.7236,1.0,0.8396379670457182
hands_with_objects,8.0,0.674,1.0,0.8052568697729989
hands_with_objects,9.0,0.9372,1.0,0.9675820772248607
hands_with_objects,10.0,0.8988,1.0,0.9467031809563935
hands_with_objects,11.0,0.864,1.0,0.9270386266094421
hands_with_objects,12.0,0.7552,1.0,0.8605287146763902
hands_with_objects,13.0,0.9092,1.0,0.9524408129059292
hands_with_objects,14.0,0.8988,1.0,0.9467031809563935
hands_with_objects,15.0,0.8636,1.0,0.926808327967375
hands_with_objects,16.0,0.7496,1.0,0.8568815729309557
hands_with_objects,17.0,0.7576,1.0,0.8620846609012289
hands_with_objects,18.0,0.7612,1.0,0.8644106291165115
hands_with_objects,19.0,0.7372,1.0,0.8487220815104766
hands_with_objects,20.0,0.66,1.0,0.7951807228915663
