test_case,keypoint,precision,recall,f1_score
thumb,0.0,0.49133333333333334,1.0,0.6589181940098345
thumb,1.0,0.6,1.0,0.7499999999999999
thumb,2.0,0.6576666666666666,1.0,0.7934848180172933
thumb,3.0,0.521,1.0,0.6850756081525313
thumb,4.0,0.30633333333333335,1.0,0.46899719316152083
thumb,5.0,0.9393333333333334,1.0,0.9687177724303885
thumb,6.0,0.831,1.0,0.9077007099945384
thumb,7.0,0.7663333333333333,1.0,0.8677108888469522
thumb,8.0,0.6676666666666666,1.0,0.8007195682590446
thumb,9.0,0.9843333333333333,1.0,0.9921048210986058
thumb,10.0,0.9476666666666667,1.0,0.9731302413143933
thumb,11.0,0.869,1.0,0.9299090422685928
thumb,12.0,0.7793333333333333,1.0,0.8759835144248783
thumb,13.0,0.9873333333333333,1.0,0.9936262998993626
thumb,14.0,0.9643333333333334,1.0,0.9818428644154081
thumb,15.0,0.8826666666666667,1.0,0.9376770538243626
thumb,16.0,0.7666666666666667,1.0,0.8679245283018869
thumb,17.0,0.894,1.0,0.9440337909186906
thumb,18.0,0.841,1.0,0.9136338946224878
thumb,19.0,0.7716666666666666,1.0,0.8711194731890876
thumb,20.0,0.6883333333333334,1.0,0.8153998025666337
index_finger,0.0,0.6353333333333333,1.0,0.7770077456176111
index_finger,1.0,0.754,1.0,0.8597491448118586
index_finger,2.0,0.7813333333333333,1.0,0.8772455089820359
index_finger,3.0,0.7203333333333334,1.0,0.8374346056965704
index_finger,4.0,0.6306666666666667,1.0,0.7735077677841374
index_finger,5.0,0.9243333333333333,1.0,0.9606790230382817
index_finger,6.0,0.804,1.0,0.8913525498891353
index_finger,7.0,0.694,1.0,0.819362455726092
index_finger,8.0,0.545,1.0,0.7055016181229774
index_finger,9.0,0.9696666666666667,1.0,0.984599763073278
index_finger,10.0,0.893,1.0,0.9434759640781828
index_finger,11.0,0.7916666666666666,1.0,0.8837209302325582
index_finger,12.0,0.6833333333333333,1.0,0.8118811881188119
index_finger,13.0,0.9616666666666667,1.0,0.9804587935429057
index_finger,14.0,0.9133333333333333,1.0,0.9547038327526133
index_finger,15.0,0.845,1.0,0.9159891598915989
index_finger,16.0,0.7366666666666667,1.0,0.8483685220729367
index_finger,17.0,0.8953333333333333,1.0,0.9447766443897292
index_finger,18.0,0.8486666666666667,1.0,0.9181391994230076
index_finger,19.0,0.786,1.0,0.8801791713325868
index_finger,20.0,0.6943333333333334,1.0,0.8195947275231164
middle_finger,0.0,0.7036666666666667,1.0,0.8260614361181765
middle_finger,1.0,0.8306666666666667,1.0,0.9075018208302986
middle_finger,2.0,0.761,1.0,0.8642816581487791
middle_finger,3.0,0.64,1.0,0.7804878048780487
middle_finger,4.0,0.556,1.0,0.7146529562982006
middle_finger,5.0,0.924,1.0,0.9604989604989606
middle_finger,6.0,0.7733333333333333,1.0,0.8721804511278195
middle_finger,7.0,0.6743333333333333,1.0,0.8054947242683655
middle_finger,8.0,0.5343333333333333,1.0,0.696502281121008
middle_finger,9.0,0.96,1.0,0.9795918367346939
middle_finger,10.0,0.8506666666666667,1.0,0.9193083573487032
middle_finger,11.0,0.6913333333333334,1.0,0.8175009854158455
middle_finger,12.0,0.532,1.0,0.6945169712793734
middle_finger,13.0,0.9183333333333333,1.0,0.9574283231972197
middle_finger,14.0,0.822,1.0,0.9023051591657518
middle_finger,15.0,0.698,1.0,0.8221436984687868
middle_finger,16.0,0.5753333333333334,1.0,0.7304274227676681
middle_finger,17.0,0.7953333333333333,1.0,0.8860007426661716
middle_finger,18.0,0.6916666666666667,1.0,0.8177339901477833
middle_finger,19.0,0.642,1.0,0.781973203410475
middle_finger,20.0,0.5586666666666666,1.0,0.7168520102651839
ring_finger,0.0,0.6466666666666666,1.0,0.7854251012145749
ring_finger,1.0,0.8163333333333334,1.0,0.8988805285373463
ring_finger,2.0,0.7373333333333333,1.0,0.8488104374520337
ring_finger,3.0,0.6046666666666667,1.0,0.7536352305774824
ring_finger,4.0,0.5133333333333333,1.0,0.6784140969162996
ring_finger,5.0,0.9553333333333334,1.0,0.9771564950562565
ring_finger,6.0,0.8426666666666667,1.0,0.914616497829233
ring_finger,7.0,0.755,1.0,0.8603988603988605
ring_finger,8.0,0.6426666666666667,1.0,0.7824675324675325
ring_finger,9.0,0.9573333333333334,1.0,0.9782016348773842
ring_finger,10.0,0.8636666666666667,1.0,0.9268467179395458
ring_finger,11.0,0.736,1.0,0.847926267281106
ring_finger,12.0,0.622,1.0,0.7669543773119606
ring_finger,13.0,0.9246666666666666,1.0,0.9608590232074818
ring_finger,14.0,0.8303333333333334,1.0,0.9073028592241851
ring_finger,15.0,0.681,1.0,0.810232004759072
ring_finger,16.0,0.5246666666666666,1.0,0.6882378662002623
ring_finger,17.0,0.7176666666666667,1.0,0.8356297302542208
ring_finger,18.0,0.59,1.0,0.7421383647798743
ring_finger,19.0,0.51,1.0,0.6754966887417219
ring_finger,20.0,0.42,1.0,0.5915492957746479
pinky,0.0,0.5776666666666667,1.0,0.7323050919078808
pinky,1.0,0.7623333333333333,1.0,0.8651409116701343
pinky,2.0,0.7863333333333333,1.0,0.8803881321142004
pinky,3.0,0.6863333333333334,1.0,0.8139948606443962
pinky,4.0,0.586,1.0,0.7389659520807063
pinky,5.0,0.967,1.0,0.9832231825114387
pinky,6.0,0.8766666666666667,1.0,0.9342806394316163
pinky,7.0,0.814,1.0,0.8974641675854464
pinky,8.0,0.693,1.0,0.8186650915534553
pinky,9.0,0.9703333333333334,1.0,0.9849433260023684
pinky,10.0,0.935,1.0,0.9664082687338501
pinky,11.0,0.8563333333333333,1.0,0.9226072903573352
pinky,12.0,0.748,1.0,0.8558352402745996
pinky,13.0,0.9543333333333334,1.0,0.9766331229745864
pinky,14.0,0.9016666666666666,1.0,0.9482909728308501
pinky,15.0,0.7943333333333333,1.0,0.885379899684191
pinky,16.0,0.6886666666666666,1.0,0.8156336360047374
pinky,17.0,0.7803333333333333,1.0,0.8766148661299382
pinky,18.0,0.71,1.0,0.8304093567251462
pinky,19.0,0.626,1.0,0.7699876998769988
pinky,20.0,0.5313333333333333,1.0,0.69394862864606
