test_case,keypoint,precision,recall,f1_score
level 1,0.0,0.5896666666666667,1.0,0.7418746068358147
level 1,1.0,0.7346666666666667,1.0,0.8470407378939279
level 1,2.0,0.7853333333333333,1.0,0.8797610156833457
level 1,3.0,0.707,1.0,0.8283538371411834
level 1,4.0,0.6196666666666667,1.0,0.765178020168759
level 1,5.0,0.9553333333333334,1.0,0.9771564950562565
level 1,6.0,0.872,1.0,0.9316239316239316
level 1,7.0,0.8116666666666666,1.0,0.8960441582336707
level 1,8.0,0.6993333333333334,1.0,0.8230678697528443
level 1,9.0,0.9873333333333333,1.0,0.9936262998993626
level 1,10.0,0.9593333333333334,1.0,0.9792446410343655
level 1,11.0,0.893,1.0,0.9434759640781828
level 1,12.0,0.807,1.0,0.8931931377974545
level 1,13.0,0.9783333333333334,1.0,0.9890480202190396
level 1,14.0,0.9546666666666667,1.0,0.9768076398362892
level 1,15.0,0.881,1.0,0.936735778841042
level 1,16.0,0.7796666666666666,1.0,0.8761940438284324
level 1,17.0,0.8663333333333333,1.0,0.9283800678692623
level 1,18.0,0.8293333333333334,1.0,0.9067055393586005
level 1,19.0,0.768,1.0,0.8687782805429864
level 1,20.0,0.6876666666666666,1.0,0.8149318585818685
level 2,0.0,0.481,1.0,0.649561107359892
level 2,1.0,0.6426666666666667,1.0,0.7824675324675325
level 2,2.0,0.7463333333333333,1.0,0.8547432716167207
level 2,3.0,0.6706666666666666,1.0,0.8028731045490822
level 2,4.0,0.5626666666666666,1.0,0.720136518771331
level 2,5.0,0.9516666666666667,1.0,0.9752348420153715
level 2,6.0,0.8653333333333333,1.0,0.9278055754110078
level 2,7.0,0.7876666666666666,1.0,0.8812231959724035
level 2,8.0,0.691,1.0,0.8172678888231816
level 2,9.0,0.9886666666666667,1.0,0.9943010392222595
level 2,10.0,0.9583333333333334,1.0,0.9787234042553191
level 2,11.0,0.8913333333333333,1.0,0.9425449418399718
level 2,12.0,0.792,1.0,0.8839285714285714
level 2,13.0,0.9763333333333334,1.0,0.9880249620509362
level 2,14.0,0.954,1.0,0.9764585465711361
level 2,15.0,0.8836666666666667,1.0,0.9382410192886216
level 2,16.0,0.7796666666666666,1.0,0.8761940438284324
level 2,17.0,0.883,1.0,0.9378651088688263
level 2,18.0,0.8293333333333334,1.0,0.9067055393586005
level 2,19.0,0.761,1.0,0.8642816581487791
level 2,20.0,0.6826666666666666,1.0,0.8114104595879557
level 3,0.0,0.49533333333333335,1.0,0.6625055728934462
level 3,1.0,0.616,1.0,0.7623762376237623
level 3,2.0,0.7133333333333334,1.0,0.8326848249027238
level 3,3.0,0.642,1.0,0.781973203410475
level 3,4.0,0.518,1.0,0.6824769433465085
level 3,5.0,0.9473333333333334,1.0,0.9729544676480657
level 3,6.0,0.8656666666666667,1.0,0.9279971413257102
level 3,7.0,0.7883333333333333,1.0,0.8816402609506058
level 3,8.0,0.683,1.0,0.8116458704694
level 3,9.0,0.9846666666666667,1.0,0.9922741014444072
level 3,10.0,0.9616666666666667,1.0,0.9804587935429057
level 3,11.0,0.88,1.0,0.9361702127659575
level 3,12.0,0.7903333333333333,1.0,0.8828895922547012
level 3,13.0,0.9843333333333333,1.0,0.9921048210986058
level 3,14.0,0.9553333333333334,1.0,0.9771564950562565
level 3,15.0,0.8693333333333333,1.0,0.9300998573466476
level 3,16.0,0.762,1.0,0.8649262202043133
level 3,17.0,0.8966666666666666,1.0,0.9455184534270651
level 3,18.0,0.8333333333333334,1.0,0.9090909090909091
level 3,19.0,0.7533333333333333,1.0,0.8593155893536121
level 3,20.0,0.6763333333333333,1.0,0.8069198647842513
level 4,0.0,0.49466666666666664,1.0,0.6619090098126673
level 4,1.0,0.5853333333333334,1.0,0.7384356602186712
level 4,2.0,0.6816666666666666,1.0,0.8107036669970268
level 4,3.0,0.5423333333333333,1.0,0.7032634536416684
level 4,4.0,0.372,1.0,0.5422740524781342
level 4,5.0,0.9443333333333334,1.0,0.9713697925595749
level 4,6.0,0.8486666666666667,1.0,0.9181391994230076
level 4,7.0,0.7813333333333333,1.0,0.8772455089820359
level 4,8.0,0.67,1.0,0.8023952095808384
level 4,9.0,0.9866666666666667,1.0,0.9932885906040269
level 4,10.0,0.953,1.0,0.9759344598054276
level 4,11.0,0.8846666666666667,1.0,0.9388043862752035
level 4,12.0,0.795,1.0,0.8857938718662953
level 4,13.0,0.9876666666666667,1.0,0.9937950695958411
level 4,14.0,0.9596666666666667,1.0,0.9794182684129954
level 4,15.0,0.8736666666666667,1.0,0.9325742750400284
level 4,16.0,0.7633333333333333,1.0,0.8657844990548205
level 4,17.0,0.8963333333333333,1.0,0.945333098962911
level 4,18.0,0.8373333333333334,1.0,0.9114658925979681
level 4,19.0,0.7566666666666667,1.0,0.8614800759013282
level 4,20.0,0.6786666666666666,1.0,0.8085782366957903
level 5,0.0,0.49133333333333334,1.0,0.6589181940098345
level 5,1.0,0.6,1.0,0.7499999999999999
level 5,2.0,0.6576666666666666,1.0,0.7934848180172933
level 5,3.0,0.521,1.0,0.6850756081525313
level 5,4.0,0.30633333333333335,1.0,0.46899719316152083
level 5,5.0,0.9393333333333334,1.0,0.9687177724303885
level 5,6.0,0.831,1.0,0.9077007099945384
level 5,7.0,0.7663333333333333,1.0,0.8677108888469522
level 5,8.0,0.6676666666666666,1.0,0.8007195682590446
level 5,9.0,0.9843333333333333,1.0,0.9921048210986058
level 5,10.0,0.9476666666666667,1.0,0.9731302413143933
level 5,11.0,0.869,1.0,0.9299090422685928
level 5,12.0,0.7793333333333333,1.0,0.8759835144248783
level 5,13.0,0.9873333333333333,1.0,0.9936262998993626
level 5,14.0,0.9643333333333334,1.0,0.9818428644154081
level 5,15.0,0.8826666666666667,1.0,0.9376770538243626
level 5,16.0,0.7666666666666667,1.0,0.8679245283018869
level 5,17.0,0.894,1.0,0.9440337909186906
level 5,18.0,0.841,1.0,0.9136338946224878
level 5,19.0,0.7716666666666666,1.0,0.8711194731890876
level 5,20.0,0.6883333333333334,1.0,0.8153998025666337
level 6,0.0,0.4826666666666667,1.0,0.6510791366906474
level 6,1.0,0.5663333333333334,1.0,0.7231325814002979
level 6,2.0,0.6203333333333333,1.0,0.7656860728245216
level 6,3.0,0.5023333333333333,1.0,0.6687375194142445
level 6,4.0,0.299,1.0,0.4603541185527329
level 6,5.0,0.934,1.0,0.9658738366080661
level 6,6.0,0.8133333333333334,1.0,0.8970588235294117
level 6,7.0,0.7336666666666667,1.0,0.8463756969813497
level 6,8.0,0.648,1.0,0.7864077669902912
level 6,9.0,0.9816666666666667,1.0,0.990748528174937
level 6,10.0,0.9313333333333333,1.0,0.9644459785985502
level 6,11.0,0.8703333333333333,1.0,0.9306718944929602
level 6,12.0,0.7773333333333333,1.0,0.8747186796699175
level 6,13.0,0.9803333333333333,1.0,0.99006901195085
level 6,14.0,0.955,1.0,0.9769820971867007
level 6,15.0,0.881,1.0,0.936735778841042
level 6,16.0,0.7643333333333333,1.0,0.8664273568864538
level 6,17.0,0.921,1.0,0.9588755856324831
level 6,18.0,0.8553333333333333,1.0,0.9220265900107797
level 6,19.0,0.769,1.0,0.8694177501413227
level 6,20.0,0.6783333333333333,1.0,0.8083416087388282
level 7,0.0,0.508,1.0,0.6737400530503979
level 7,1.0,0.5936666666666667,1.0,0.7450324199958168
level 7,2.0,0.6133333333333333,1.0,0.7603305785123966
level 7,3.0,0.49133333333333334,1.0,0.6589181940098345
level 7,4.0,0.291,1.0,0.45081332300542215
level 7,5.0,0.9233333333333333,1.0,0.9601386481802426
level 7,6.0,0.784,1.0,0.8789237668161435
level 7,7.0,0.681,1.0,0.810232004759072
level 7,8.0,0.5816666666666667,1.0,0.7355110642781876
level 7,9.0,0.98,1.0,0.98989898989899
level 7,10.0,0.919,1.0,0.9577905158936947
level 7,11.0,0.8436666666666667,1.0,0.9152052070150064
level 7,12.0,0.7583333333333333,1.0,0.8625592417061612
level 7,13.0,0.9793333333333333,1.0,0.989558773997979
level 7,14.0,0.952,1.0,0.9754098360655737
level 7,15.0,0.8863333333333333,1.0,0.9397420038876125
level 7,16.0,0.773,1.0,0.8719684151156232
level 7,17.0,0.9183333333333333,1.0,0.9574283231972197
level 7,18.0,0.878,1.0,0.9350372736954206
level 7,19.0,0.793,1.0,0.8845510317902956
level 7,20.0,0.712,1.0,0.8317757009345794
level 8,0.0,0.5146666666666667,1.0,0.6795774647887324
level 8,1.0,0.5996666666666667,1.0,0.7497395290685559
level 8,2.0,0.6196666666666667,1.0,0.765178020168759
level 8,3.0,0.488,1.0,0.6559139784946236
level 8,4.0,0.2753333333333333,1.0,0.4317825405122844
level 8,5.0,0.921,1.0,0.9588755856324831
level 8,6.0,0.7786666666666666,1.0,0.8755622188905547
level 8,7.0,0.6706666666666666,1.0,0.8028731045490822
level 8,8.0,0.532,1.0,0.6945169712793734
level 8,9.0,0.981,1.0,0.9904088844018173
level 8,10.0,0.9143333333333333,1.0,0.9552498694062336
level 8,11.0,0.8086666666666666,1.0,0.8942130482860302
level 8,12.0,0.7113333333333334,1.0,0.831320607713284
level 8,13.0,0.9776666666666667,1.0,0.9887072307433002
level 8,14.0,0.9453333333333334,1.0,0.971898560657985
level 8,15.0,0.8756666666666667,1.0,0.9337124577927849
level 8,16.0,0.753,1.0,0.8590986879634911
level 8,17.0,0.9126666666666666,1.0,0.9543394911118858
level 8,18.0,0.8793333333333333,1.0,0.9357928343384179
level 8,19.0,0.7996666666666666,1.0,0.8886830894610114
