test_case,precision,recall,f1_score
level 1,0.8176666666666667,1.0,0.8996882450027507
level 2,0.7693333333333333,1.0,0.8696307460437075
level 3,0.751,1.0,0.8577955454026271
level 4,0.645,1.0,0.78419452887538
level 5,0.5723333333333334,1.0,0.7280050879796481
level 6,0.5576666666666666,1.0,0.7160282473785577
level 7,0.5343333333333333,1.0,0.696502281121008
level 8,0.477,1.0,0.6459038591740014
level 9,0.44466666666666665,1.0,0.615597600369174
level 10,0.462,1.0,0.6320109439124487
level 11,0.47333333333333333,1.0,0.6425339366515836
level 12,0.433,1.0,0.6043265875785067
level 13,0.40166666666666667,1.0,0.573127229488704
level 14,0.4146666666666667,1.0,0.586239396795476
level 15,0.4176666666666667,1.0,0.5892311309663767
level 16,0.3923333333333333,1.0,0.5635623653339717
level 17,0.383,1.0,0.5538684020245842
level 18,0.36533333333333334,1.0,0.53515625
level 19,0.36966666666666664,1.0,0.5397907033341446
level 20,0.328,1.0,0.4939759036144578
level 21,0.336,1.0,0.5029940119760479
