test_case,keypoint,precision,recall,f1_score
diagonal,0.0,0.735,1.0,0.8472622478386168
diagonal,1.0,0.8073333333333333,1.0,0.8933972703799337
diagonal,2.0,0.7446666666666667,1.0,0.853649216660298
diagonal,3.0,0.6423333333333333,1.0,0.7822204181043232
diagonal,4.0,0.5036666666666667,1.0,0.6699179782753271
diagonal,5.0,0.9473333333333334,1.0,0.9729544676480657
diagonal,6.0,0.7936666666666666,1.0,0.8849656197732763
diagonal,7.0,0.6776666666666666,1.0,0.8078680707331611
diagonal,8.0,0.5586666666666666,1.0,0.7168520102651839
diagonal,9.0,0.9763333333333334,1.0,0.9880249620509362
diagonal,10.0,0.8773333333333333,1.0,0.9346590909090909
diagonal,11.0,0.7406666666666667,1.0,0.8510149368058215
diagonal,12.0,0.6056666666666667,1.0,0.7544114594145734
diagonal,13.0,0.9433333333333334,1.0,0.9708404802744426
diagonal,14.0,0.91,1.0,0.9528795811518325
diagonal,15.0,0.7646666666666667,1.0,0.8666414809217983
diagonal,16.0,0.6066666666666667,1.0,0.7551867219917012
diagonal,17.0,0.778,1.0,0.875140607424072
diagonal,18.0,0.763,1.0,0.8655700510493478
diagonal,19.0,0.6623333333333333,1.0,0.7968718668538199
diagonal,20.0,0.5376666666666666,1.0,0.6993279861261652
horizontal,0.0,0.8223333333333334,1.0,0.9025059447594659
horizontal,1.0,0.8846666666666667,1.0,0.9388043862752035
horizontal,2.0,0.7716666666666666,1.0,0.8711194731890876
horizontal,3.0,0.6863333333333334,1.0,0.8139948606443962
horizontal,4.0,0.598,1.0,0.7484355444305382
horizontal,5.0,0.9356666666666666,1.0,0.9667642500430514
horizontal,6.0,0.8313333333333334,1.0,0.9078995267564617
horizontal,7.0,0.745,1.0,0.8538681948424068
horizontal,8.0,0.6663333333333333,1.0,0.7997599519903982
horizontal,9.0,0.9723333333333334,1.0,0.9859726212607741
horizontal,10.0,0.9196666666666666,1.0,0.9581524570237888
horizontal,11.0,0.8593333333333333,1.0,0.9243456435998566
horizontal,12.0,0.757,1.0,0.8616960728514513
horizontal,13.0,0.948,1.0,0.973305954825462
horizontal,14.0,0.9193333333333333,1.0,0.9579715178881556
horizontal,15.0,0.83,1.0,0.9071038251366119
horizontal,16.0,0.7103333333333334,1.0,0.8306373026700449
horizontal,17.0,0.8136666666666666,1.0,0.8972615328064694
horizontal,18.0,0.7783333333333333,1.0,0.8753514526710403
horizontal,19.0,0.6976666666666667,1.0,0.8219124288238759
horizontal,20.0,0.6193333333333333,1.0,0.7649238369699465
vertical,0.0,0.8153333333333334,1.0,0.8982739625413148
vertical,1.0,0.8466666666666667,1.0,0.9169675090252708
vertical,2.0,0.745,1.0,0.8538681948424068
vertical,3.0,0.6723333333333333,1.0,0.804066175004983
vertical,4.0,0.6083333333333333,1.0,0.7564766839378237
vertical,5.0,0.9343333333333333,1.0,0.966052042047217
vertical,6.0,0.8296666666666667,1.0,0.906904718527965
vertical,7.0,0.7296666666666667,1.0,0.8437078435151282
vertical,8.0,0.63,1.0,0.7730061349693252
vertical,9.0,0.9743333333333334,1.0,0.9869998311666385
vertical,10.0,0.929,1.0,0.9631933644375325
vertical,11.0,0.837,1.0,0.9112683723462166
vertical,12.0,0.7013333333333334,1.0,0.8244514106583072
vertical,13.0,0.9413333333333334,1.0,0.9697802197802198
vertical,14.0,0.92,1.0,0.9583333333333334
vertical,15.0,0.8283333333333334,1.0,0.9061075660893345
vertical,16.0,0.674,1.0,0.8052568697729989
vertical,17.0,0.7873333333333333,1.0,0.8810145468108915
vertical,18.0,0.7643333333333333,1.0,0.8664273568864538
vertical,19.0,0.7053333333333334,1.0,0.8272087568412823
vertical,20.0,0.6083333333333333,1.0,0.7564766839378237
