test_case,keypoint,precision,recall,f1_score
thumb,0.0,0.0184645286686103,1.0,0.03625954198473282
thumb,1.0,0.04146420472951085,1.0,0.0796267496111975
thumb,2.0,0.052478134110787174,1.0,0.0997229916897507
thumb,3.0,0.055717525105280205,1.0,0.10555385087450138
thumb,4.0,0.09199870424360221,1.0,0.16849599525363396
thumb,5.0,0.2562358276643991,1.0,0.4079422382671481
thumb,6.0,0.28992549400712664,1.0,0.44952285283777
thumb,7.0,0.3145448655652737,1.0,0.4785608674223755
thumb,8.0,0.26271460965338517,1.0,0.4161108260646485
thumb,9.0,0.3505021056041464,1.0,0.5190693211801392
thumb,10.0,0.4428247489471979,1.0,0.6138302649303996
thumb,11.0,0.4444444444444444,1.0,0.6153846153846153
thumb,12.0,0.3401360544217687,1.0,0.5076142131979695
thumb,13.0,0.3032069970845481,1.0,0.46532438478747207
thumb,14.0,0.36443148688046645,1.0,0.5341880341880342
thumb,15.0,0.3819241982507289,1.0,0.5527426160337553
thumb,16.0,0.3275024295432459,1.0,0.4934114202049781
thumb,17.0,0.19468739876903143,1.0,0.32592190889370937
thumb,18.0,0.24360220278587624,1.0,0.3917686897629591
thumb,19.0,0.2886297376093295,1.0,0.44796380090497745
thumb,20.0,0.2562358276643991,1.0,0.4079422382671481
index_finger,0.0,0.019436345966958212,1.0,0.03813155386081983
index_finger,1.0,0.1198574667962423,1.0,0.21405843216661846
index_finger,2.0,0.08357628765792031,1.0,0.15426008968609867
index_finger,3.0,0.18140589569160998,1.0,0.30710172744721687
index_finger,4.0,0.19922254616132168,1.0,0.33225283630470015
index_finger,5.0,0.18043407839326206,1.0,0.3057080131723381
index_finger,6.0,0.1645610625202462,1.0,0.2826147426981919
index_finger,7.0,0.14318108195659215,1.0,0.2504958911873052
index_finger,8.0,0.14318108195659215,1.0,0.2504958911873052
index_finger,9.0,0.3087139617751863,1.0,0.47178217821782187
index_finger,10.0,0.42857142857142855,1.0,0.6
index_finger,11.0,0.3997408487204406,1.0,0.571164082388336
index_finger,12.0,0.29575639779721413,1.0,0.4565
index_finger,13.0,0.3161645610625202,1.0,0.48043317745508246
index_finger,14.0,0.423712342079689,1.0,0.5952218430034129
index_finger,15.0,0.4318108195659216,1.0,0.6031674208144796
index_finger,16.0,0.34175574991901525,1.0,0.509415741187832
