test_case,precision,recall,f1_score
level 1,0.264658244250081,1.0,0.4185450819672132
level 2,0.25851882703194656,1.0,0.41083028951045525
level 3,0.2570379625773212,1.0,0.40895815437476996
level 4,0.2564672127354343,1.0,0.4082354241096092
level 5,0.25341292979776947,1.0,0.4043566549750785
level 6,0.2505900319311398,1.0,0.4007548845470693
level 7,0.24907831613370973,1.0,0.39881937412008794
level 8,0.2432628380150246,1.0,0.391329702098093
level 9,0.23969950792108227,1.0,0.386705820869522
level 10,0.22643343051506318,1.0,0.3692551505546751
level 11,0.22117327656686256,1.0,0.36223078380597484
level 12,0.2125349005815478,1.0,0.3505629412887221
level 13,0.20786092214663643,1.0,0.34418022528160197
level 14,0.19953105958936862,1.0,0.33268177258815357
level 15,0.18879479229333457,1.0,0.31762385487763733
level 16,0.17899949095284373,1.0,0.3036464261883267
level 17,0.17414040446110418,1.0,0.2966262021125651
level 18,0.1726903913492835,1.0,0.29452000736628875
level 19,0.1717648510651426,1.0,0.293172902240594
level 20,0.16983664213984914,1.0,0.2903595870089798
level 21,0.16827864932821202,1.0,0.2880796450829196
