test_case,keypoint,precision,recall,f1_score
level 1,0.0,0.017816650469711693,1.0,0.03500954805856142
level 1,1.0,0.12180110139293812,1.0,0.2171527577245163
level 1,2.0,0.09037900874635568,1.0,0.1657754010695187
level 1,3.0,0.15289925494007126,1.0,0.26524304579938185
level 1,4.0,0.19144800777453838,1.0,0.32137030995106036
level 1,5.0,0.24425008098477485,1.0,0.39260609216349907
level 1,6.0,0.3012633624878523,1.0,0.4630321135175504
level 1,7.0,0.319080012957564,1.0,0.4837917485265226
level 1,8.0,0.27113702623906705,1.0,0.42660550458715596
level 1,9.0,0.34791059280855197,1.0,0.5162220620043259
level 1,10.0,0.4363459669582119,1.0,0.6075778078484438
level 1,11.0,0.44703595724003886,1.0,0.6178643384822028
level 1,12.0,0.34402332361516036,1.0,0.5119305856832972
level 1,13.0,0.29802397149335924,1.0,0.4591964062889943
level 1,14.0,0.34110787172011664,1.0,0.5086956521739131
level 1,15.0,0.35827664399092973,1.0,0.5275459098497496
level 1,16.0,0.3126012309685779,1.0,0.4763079960513326
level 1,17.0,0.19922254616132168,1.0,0.33225283630470015
level 1,18.0,0.23615160349854228,1.0,0.38207547169811323
level 1,19.0,0.28150307742144476,1.0,0.4393326592517695
level 1,20.0,0.24554583738257207,1.0,0.3942782834850455
level 2,0.0,0.018788467768059605,1.0,0.0368839427662957
level 2,1.0,0.03952057013281503,1.0,0.07603614833281395
level 2,2.0,0.08454810495626822,1.0,0.15591397849462366
level 2,3.0,0.13929381276320052,1.0,0.24452658515780493
level 2,4.0,0.18626498218334953,1.0,0.3140360458765702
level 2,5.0,0.24619371558147068,1.0,0.3951130751234729
level 2,6.0,0.296728215095562,1.0,0.457656757431926
level 2,7.0,0.31519274376417233,1.0,0.47931034482758617
level 2,8.0,0.2659540006478782,1.0,0.4201637666325486
level 2,9.0,0.3475866537091027,1.0,0.5158653846153847
level 2,10.0,0.43278263686426954,1.0,0.6041148541713769
level 2,11.0,0.446064139941691,1.0,0.6169354838709677
level 2,12.0,0.3430515063168124,1.0,0.5108538350217077
level 2,13.0,0.29737609329446063,1.0,0.4584269662921348
level 2,14.0,0.3424036281179138,1.0,0.5101351351351352
level 2,15.0,0.3589245221898283,1.0,0.5282479141835518
level 2,16.0,0.3138969873663751,1.0,0.47781065088757396
level 2,17.0,0.19468739876903143,1.0,0.32592190889370937
level 2,18.0,0.2387431162941367,1.0,0.3854602510460251
level 2,19.0,0.27632005183025593,1.0,0.43299492385786803
level 2,20.0,0.24457402008422416,1.0,0.3930244664237376
level 3,0.0,0.019436345966958212,1.0,0.03813155386081983
level 3,1.0,0.04178814382896016,1.0,0.08022388059701492
level 3,2.0,0.05863297700032394,1.0,0.11077111383108934
level 3,3.0,0.1286038224813735,1.0,0.22789896670493687
level 3,4.0,0.17006802721088435,1.0,0.29069767441860467
level 3,5.0,0.25299643666990607,1.0,0.4038262668045502
level 3,6.0,0.29186912860382247,1.0,0.4518555667001003
level 3,7.0,0.3129251700680272,1.0,0.4766839378238343
level 3,8.0,0.2730806608357629,1.0,0.4290076335877863
level 3,9.0,0.3556851311953353,1.0,0.524731182795699
level 3,10.0,0.42921930677032716,1.0,0.600634632819583
level 3,11.0,0.4505992873339812,1.0,0.6212594908441268
level 3,12.0,0.3453190800129576,1.0,0.513363833373465
level 3,13.0,0.2941367022999676,1.0,0.45456821026282856
level 3,14.0,0.34467120181405897,1.0,0.5126475548060708
level 3,15.0,0.36410754778101717,1.0,0.5338399430064118
level 3,16.0,0.3138969873663751,1.0,0.47781065088757396
level 3,17.0,0.19663103336572724,1.0,0.32864103952355167
level 3,18.0,0.23647554259799158,1.0,0.3824993450353681
level 3,19.0,0.28053126012309687,1.0,0.43814824184163925
level 3,20.0,0.2371234207968902,1.0,0.38334642576590733
level 4,0.0,0.017816650469711693,1.0,0.03500954805856142
level 4,1.0,0.04081632653061224,1.0,0.07843137254901959
level 4,2.0,0.050210560414642044,1.0,0.09561998766193706
level 4,3.0,0.08130871396177519,1.0,0.15038945476333135
level 4,4.0,0.13540654356980888,1.0,0.2385164051355207
level 4,5.0,0.25915127955944284,1.0,0.41162850527399025
level 4,6.0,0.2983479105928086,1.0,0.4595808383233533
level 4,7.0,0.32653061224489793,1.0,0.4923076923076923
level 4,8.0,0.27405247813411077,1.0,0.4302059496567506
level 4,9.0,0.35438937479753807,1.0,0.5233197799569481
level 4,10.0,0.44314868804664725,1.0,0.6141414141414141
level 4,11.0,0.4496274700356333,1.0,0.6203351955307262
level 4,12.0,0.35179786200194363,1.0,0.5204888569374551
level 4,13.0,0.2944606413994169,1.0,0.45495495495495497
level 4,14.0,0.35244574020084224,1.0,0.5211976047904191
level 4,15.0,0.369290573372206,1.0,0.5393896380411639
