test_case,keypoint,precision,recall,f1_score
top_5,0.0,0.022675736961451247,1.0,0.04434589800443459
top_5,1.0,0.13475866537091027,1.0,0.2375107051099058
top_5,2.0,0.09394233884029803,1.0,0.17175007403020434
top_5,3.0,0.15743440233236153,1.0,0.27204030226700254
top_5,4.0,0.1933916423712342,1.0,0.3241042345276873
top_5,5.0,0.24522189828312277,1.0,0.3938605619146722
top_5,6.0,0.23226433430515064,1.0,0.37697160883280756
top_5,7.0,0.2562358276643991,1.0,0.4079422382671481
top_5,8.0,0.21703919663103335,1.0,0.35666755389938776
top_5,9.0,0.35082604470359574,1.0,0.5194244604316547
top_5,10.0,0.2915451895043732,1.0,0.45146726862302483
top_5,11.0,0.38160025915127954,1.0,0.5524032825322391
top_5,12.0,0.32491091674765143,1.0,0.4904645476772616
top_5,13.0,0.21833495302883058,1.0,0.35841531507577773
top_5,14.0,0.1836734693877551,1.0,0.3103448275862069
top_5,15.0,0.2886297376093295,1.0,0.44796380090497745
top_5,16.0,0.3122772918691286,1.0,0.4759318686744014
top_5,17.0,0.10430839002267574,1.0,0.188911704312115
top_5,18.0,0.1645610625202462,1.0,0.2826147426981919
top_5,19.0,0.23453190800129575,1.0,0.37995276830228286
top_5,20.0,0.21865889212827988,1.0,0.3588516746411483
bottom_5,0.0,0.05604146420472951,1.0,0.10613496932515337
bottom_5,1.0,0.10851959831551668,1.0,0.19579193454120397
bottom_5,2.0,0.08908325234855848,1.0,0.1635930993456276
bottom_5,3.0,0.15322319403952056,1.0,0.2657303370786517
bottom_5,4.0,0.18399740848720442,1.0,0.31080711354309165
bottom_5,5.0,0.19047619047619047,1.0,0.32
bottom_5,6.0,0.3126012309685779,1.0,0.4763079960513326
bottom_5,7.0,0.3019112406867509,1.0,0.4637969644190097
bottom_5,8.0,0.25008098477486235,1.0,0.4001036537963203
bottom_5,9.0,0.18594104308390022,1.0,0.3135755258126195
bottom_5,10.0,0.4697116942014901,1.0,0.6391888913378885
bottom_5,11.0,0.470683511499838,1.0,0.6400881057268722
bottom_5,12.0,0.36799481697440883,1.0,0.5380061567605967
bottom_5,13.0,0.13702623906705538,1.0,0.241025641025641
bottom_5,14.0,0.2772918691286038,1.0,0.4341871671316257
bottom_5,15.0,0.3028830579850988,1.0,0.46494281452013925
bottom_5,16.0,0.264658244250081,1.0,0.4185450819672132
bottom_5,17.0,0.10333657272432782,1.0,0.18731650029359953
bottom_5,18.0,0.1010689990281827,1.0,0.18358340688437774
bottom_5,19.0,0.09685779073534176,1.0,0.1766095688127584
bottom_5,20.0,0.09685779073534176,1.0,0.1766095688127584
